timestamp,close,high,low,open,volume
1493299853,146.6250,146.6300,146.5900,146.6100,233800
1493299910,146.5800,146.5800,146.5400,146.5499,82400
1493299979,146.6500,146.6500,146.5900,146.5900,25800
1493299980,146.5300,146.6200,146.4500,146.6200,79400
1493300099,146.4222,146.5500,146.4222,146.5300,29700
1493300158,146.5200,146.6000,146.4900,146.5900,51800
1493300160,146.4800,146.5500,146.4700,146.5100,34200
1493300279,146.2805,146.5300,146.2800,146.4701,105100
1493300280,146.2200,146.2900,146.1500,146.2900,203500
1493300343,146.3300,146.3500,146.1993,146.2200,66400
1493300400,146.4000,146.4300,146.3338,146.3400,77400
1493300460,146.3700,146.4300,146.3300,146.4037,90000
1493300578,146.4800,146.4800,146.3600,146.3600,63800
1493300580,146.5100,146.5600,146.4800,146.4800,47400
1493300640,146.4500,146.5100,146.4200,146.5049,37300
1493300759,146.4900,146.5100,146.4300,146.4500,24600
1493300763,146.5600,146.5800,146.4800,146.4883,48200
1493300872,146.5499,146.5700,146.5100,146.5600,19300
1493300884,146.4900,146.6100,146.4837,146.5256,53300
1493300999,146.5500,146.5700,146.4500,146.4800,48500
1493301058,146.5600,146.6400,146.5500,146.5700,50400
1493301118,146.5300,146.5700,146.5100,146.5500,28300
1493301120,146.5200,146.5600,146.5000,146.5400,22800
1493301185,146.5824,146.5824,146.5400,146.5400,15900
1493301241,146.6000,146.6700,146.5700,146.5800,64100
1493301301,146.6600,146.6900,146.6200,146.6200,21100
1493301361,146.9200,146.9400,146.6800,146.6800,131000
1493301420,147.1000,147.1000,146.8700,146.9047,153000
1493301538,146.9300,147.0900,146.9100,147.0900,39800
1493301540,146.9847,147.0000,146.9237,146.9300,30800
1493301659,147.0201,147.0700,146.9900,147.0000,62900
1493301660,147.0300,147.0700,147.0100,147.0264,40900
1493301724,146.9552,147.0200,146.9400,147.0200,34400
1493301781,146.9250,146.9600,146.8800,146.9600,26600
1493301898,146.9099,146.9300,146.9000,146.9200,17400
1493301900,146.9273,146.9500,146.9000,146.9063,19500
1493301960,146.9600,146.9600,146.9100,146.9300,30400
1493302078,146.9100,146.9700,146.9100,146.9600,42000
1493302080,146.8200,146.9000,146.8100,146.9000,28200
1493302199,146.9100,146.9100,146.8090,146.8100,21300
1493302259,146.9500,146.9800,146.8900,146.9199,100600
1493302260,146.9400,147.0000,146.9400,146.9500,32700
1493302378,146.9993,146.9993,146.9300,146.9400,25200
1493302380,147.0500,147.0600,146.9701,146.9957,51300
1493302442,146.9700,147.0748,146.9700,147.0600,31200
1493302504,146.9200,147.0100,146.9000,146.9700,23400
1493302560,146.8900,146.9400,146.8900,146.9016,23700
1493302678,146.8100,146.8900,146.7600,146.8900,44400
1493302738,146.7900,146.8300,146.7700,146.8100,18100
1493302740,146.7500,146.7943,146.7300,146.7943,14100
1493302801,146.8200,146.8300,146.7499,146.7499,16300
1493302862,146.8100,146.8700,146.8000,146.8200,25700
1493302923,146.8600,146.8700,146.8000,146.8050,25100
1493302980,146.8700,146.8700,146.8400,146.8556,27500
1493303040,146.9030,146.9198,146.8500,146.8700,18100
1493303102,146.9100,146.9100,146.8800,146.9000,7800
1493303161,146.9000,146.9300,146.9000,146.9100,14600
1493303220,146.8700,146.9250,146.8450,146.9093,23400
1493303280,146.8220,146.8650,146.8200,146.8600,18100
1493303398,146.8400,146.8500,146.8000,146.8200,15700
1493303459,146.9501,146.9550,146.8500,146.8500,33900
1493303518,146.9600,146.9800,146.9400,146.9600,12500
1493303579,147.0200,147.0400,146.9800,146.9800,49100
1493303581,147.0400,147.0400,147.0000,147.0184,20000
1493303699,147.0670,147.0700,147.0300,147.0300,47300
1493303700,147.1000,147.1100,147.0549,147.0669,52300
1493303761,147.0466,147.1200,147.0400,147.1100,41400
1493303820,147.0600,147.0900,147.0100,147.0407,32800
1493303883,147.0300,147.0600,147.0150,147.0600,17300
1493303941,147.0101,147.0501,147.0100,147.0300,58000
1493304004,146.9470,147.0066,146.9300,147.0066,27500
1493304119,146.9000,146.9500,146.8901,146.9500,23800
1493304179,146.8400,146.9050,146.8300,146.8901,20800
1493304180,146.8300,146.8400,146.8000,146.8300,23800
1493304299,146.8400,146.8600,146.8116,146.8269,20400
1493304300,146.8400,146.8400,146.8150,146.8300,14900
1493304361,146.9201,146.9300,146.8250,146.8300,30900
1493304420,146.8600,146.9400,146.8600,146.9350,13700
1493304481,146.8300,146.8740,146.8300,146.8664,9500
1493304540,146.7100,146.8300,146.7100,146.8300,57000
1493304603,146.7950,146.8000,146.7250,146.7400,31300
1493304665,146.7500,146.8090,146.7300,146.7900,24400
1493304725,146.6900,146.7400,146.6900,146.7250,29100
1493304839,146.7400,146.7450,146.6700,146.6950,26300
1493304898,146.8100,146.8100,146.7400,146.7400,15300
1493304959,146.8000,146.8100,146.7600,146.8100,26900
1493304960,146.9000,146.9000,146.7900,146.8000,27300
1493305020,146.9300,146.9599,146.9001,146.9100,26400
1493305080,146.9699,146.9699,146.9100,146.9200,20200
1493305142,147.0245,147.0300,146.9501,146.9600,54000
1493305203,147.0000,147.0200,146.9600,146.9800,23300
1493305261,147.0513,147.0600,146.9700,146.9900,37200
1493305378,147.0600,147.0800,147.0300,147.0600,18100
1493305380,147.0400,147.0700,146.9900,147.0500,28500
1493305499,146.9856,147.0531,146.9701,147.0400,28500
1493305500,146.9000,146.9800,146.9000,146.9800,34400
1493305560,146.8800,146.9000,146.8600,146.9000,29300
1493305622,146.8600,146.8800,146.8500,146.8800,20900
1493305681,146.8500,146.8900,146.8400,146.8500,30700
1493305740,146.9200,146.9200,146.8468,146.8500,15800
1493305859,146.9500,147.0000,146.9300,146.9300,33200
1493305918,146.9800,146.9950,146.9400,146.9600,11900
1493305979,146.9790,147.0050,146.9700,146.9700,13700
1493305980,147.0100,147.0100,146.9600,146.9700,16400
1493306098,147.0700,147.0700,147.0000,147.0000,14500
1493306101,147.0900,147.1101,147.0600,147.0650,56300
1493306162,147.1100,147.1200,147.0800,147.0900,17500
1493306224,147.1100,147.1100,147.0700,147.1100,24200
1493306336,147.0950,147.1156,147.0900,147.1091,19300
1493306340,147.0700,147.1045,147.0700,147.1000,19900
1493306407,147.0850,147.1050,147.0800,147.0800,11800
1493306519,147.0150,147.0899,147.0100,147.0800,30900
1493306527,147.0200,147.0400,147.0000,147.0200,13700
1493306580,147.0400,147.0445,146.9800,147.0134,22500
1493306648,147.0600,147.0600,147.0300,147.0400,10800
1493306759,147.1000,147.1000,147.0601,147.0700,15200
1493306818,147.1395,147.1400,147.0900,147.1000,17700
1493306820,147.1400,147.1500,147.1100,147.1300,20700
1493306886,147.0700,147.1300,147.0700,147.1300,25300
1493306941,147.0500,147.0700,147.0100,147.0700,23100
1493307004,147.0800,147.0900,147.0400,147.0400,21500
1493307071,147.1000,147.1200,147.0700,147.0800,34400
1493307122,147.0800,147.1199,147.0700,147.1000,19200
1493307238,147.1400,147.1800,147.0700,147.0800,50200
1493307240,147.0900,147.1500,147.0800,147.1360,38900
1493307359,147.1500,147.1900,147.0800,147.0900,39300
1493307360,147.1800,147.1800,147.1500,147.1500,9000
1493307479,147.1720,147.2000,147.1600,147.1900,22800
1493307537,147.1700,147.1900,147.1400,147.1800,24500
1493307542,147.1150,147.1800,147.1150,147.1650,19800
1493307600,147.1200,147.1200,147.0550,147.1016,31300
1493307662,147.1300,147.1400,147.0700,147.1200,15200
1493307722,147.0700,147.1200,147.0600,147.1200,31200
1493307781,147.1600,147.1600,147.0700,147.0800,13300
1493307899,147.1700,147.1700,147.1200,147.1562,10500
1493307900,147.2150,147.2150,147.1700,147.1800,42300
1493308019,147.2500,147.2500,147.2100,147.2131,40800
1493308020,147.1650,147.2400,147.1600,147.2400,26100
1493308082,147.1600,147.1700,147.1300,147.1600,27600
1493308148,147.1900,147.1900,147.1500,147.1588,11800
1493308203,147.2000,147.2100,147.1501,147.1700,10000
1493308315,147.1900,147.2200,147.1800,147.2000,22500
1493308374,147.2700,147.3100,147.1960,147.1960,79100
1493308380,147.3400,147.3600,147.2500,147.2800,60400
1493308443,147.3660,147.3900,147.3400,147.3500,28400
1493308557,147.3200,147.3600,147.3020,147.3500,31200
1493308561,147.3350,147.3450,147.3000,147.3101,19200
1493308621,147.3400,147.3500,147.3200,147.3400,9600
1493308681,147.3800,147.3800,147.3007,147.3399,15900
1493308799,147.4000,147.4500,147.3732,147.3800,50800
1493308802,147.3899,147.4050,147.3430,147.4050,44400
1493308861,147.3014,147.3850,147.2900,147.3800,32900
1493308978,147.2550,147.3137,147.2400,147.3052,29500
1493308981,147.2172,147.2550,147.2172,147.2545,19600
1493309044,147.2101,147.2300,147.1900,147.2200,13000
1493309103,147.2000,147.2200,147.1800,147.2200,9600
1493309162,147.2200,147.2600,147.2000,147.2000,21200
1493309222,147.2100,147.2400,147.2000,147.2100,25300
1493309283,147.1810,147.2200,147.1800,147.2110,15700
1493309398,147.1500,147.1900,147.1500,147.1800,14100
1493309400,147.1660,147.1800,147.1500,147.1500,7400
1493309462,147.2100,147.2100,147.1500,147.1600,11500
1493309520,147.2129,147.2300,147.2100,147.2200,8200
1493309581,147.1700,147.2200,147.1500,147.2200,35100
1493309640,147.0999,147.1700,147.0800,147.1700,37900
1493309700,147.0966,147.1181,147.0800,147.1000,23800
1493309765,147.0533,147.0800,147.0400,147.0800,20400
1493309832,147.0150,147.0600,147.0150,147.0600,6500
1493309938,147.0300,147.0400,147.0200,147.0220,10500
1493309943,147.0500,147.0700,147.0381,147.0400,5700
1493310007,147.0900,147.1100,147.0400,147.0400,8000
1493310066,147.0750,147.0800,147.0500,147.0800,9600
1493310179,147.0700,147.0861,147.0600,147.0810,11900
1493310180,147.1300,147.1300,147.0700,147.0700,17000
1493310299,147.1100,147.1300,147.1080,147.1266,4800
1493310300,147.0900,147.1100,147.0850,147.1100,4700
1493310360,147.0700,147.0900,147.0600,147.0800,15000
1493310420,147.0699,147.0800,147.0500,147.0650,33300
1493310482,147.1400,147.1400,147.0601,147.0667,9800
1493310599,147.1501,147.1501,147.1200,147.1300,7000
1493310600,147.1400,147.1599,147.1200,147.1500,6200
1493310660,147.1400,147.1500,147.1200,147.1500,11700
1493310721,147.1300,147.1600,147.1300,147.1500,10300
1493310780,147.0986,147.1500,147.0938,147.1300,9100
1493310898,147.0835,147.1200,147.0835,147.1000,3700
1493310901,147.1500,147.1566,147.0846,147.0854,8800
1493310963,147.1450,147.1500,147.1400,147.1500,3300
1493311026,147.1900,147.2050,147.1500,147.1500,16000
1493311080,147.2300,147.2300,147.1700,147.1900,14900
1493311144,147.2400,147.2610,147.2400,147.2400,9600
1493311202,147.2600,147.2700,147.2200,147.2300,12100
1493311264,147.2760,147.2850,147.2500,147.2600,14500
1493311321,147.2899,147.2900,147.2699,147.2699,12100
1493311384,147.2500,147.2900,147.2410,147.2900,4000
1493311499,147.2400,147.2700,147.2300,147.2600,4900
1493311500,147.2000,147.2560,147.2000,147.2300,20500
1493311561,147.2900,147.2900,147.2123,147.2200,20400
1493311622,147.2300,147.2900,147.2000,147.2800,14200
1493311681,147.2500,147.2700,147.2300,147.2314,10600
1493311740,147.2300,147.2900,147.2200,147.2500,12600
1493311804,147.2300,147.2600,147.2200,147.2300,10400
1493311918,147.2900,147.3000,147.2400,147.2400,30100
1493311921,147.2700,147.3000,147.2682,147.2801,13900
1493311989,147.2550,147.2754,147.2499,147.2754,8100
1493312043,147.2900,147.3000,147.2786,147.2786,19100
1493312102,147.2700,147.3000,147.2700,147.2900,19700
1493312162,147.2800,147.2900,147.2500,147.2600,22100
1493312279,147.2900,147.3300,147.2800,147.3000,11700
1493312280,147.2900,147.3300,147.2701,147.2900,12300
1493312340,147.3400,147.3400,147.2800,147.2850,16300
1493312459,147.3100,147.3400,147.2900,147.3400,16700
1493312460,147.3400,147.3400,147.3000,147.3100,22600
1493312520,147.3700,147.3800,147.3352,147.3352,28600
1493312639,147.3800,147.3900,147.3646,147.3700,15100
1493312640,147.3850,147.4000,147.3800,147.3800,17300
1493312756,147.3400,147.4000,147.3400,147.3850,14600
1493312819,147.3200,147.3450,147.3000,147.3400,16900
1493312820,147.3300,147.3400,147.3200,147.3290,4500
1493312882,147.3200,147.3350,147.3001,147.3310,7200
1493312945,147.3300,147.3400,147.3000,147.3288,7900
1493313003,147.3340,147.3400,147.3000,147.3248,7900
1493313061,147.3450,147.3537,147.3101,147.3200,6700
1493313124,147.3100,147.3500,147.3100,147.3400,9400
1493313181,147.3200,147.3400,147.3000,147.3200,4900
1493313242,147.3050,147.3250,147.3000,147.3237,4700
1493313303,147.3200,147.3300,147.3000,147.3000,10000
1493313360,147.3399,147.3400,147.3005,147.3237,7100
1493313424,147.3100,147.3390,147.3000,147.3300,10500
1493313487,147.3070,147.3100,147.3000,147.3010,14800
1493313599,147.3300,147.3400,147.3000,147.3050,18300
1493313600,147.3200,147.3400,147.3150,147.3300,6800
1493313665,147.3600,147.3600,147.3200,147.3300,7900
1493313720,147.3400,147.3700,147.3400,147.3559,18700
1493313782,147.3400,147.3600,147.3200,147.3450,0
1493313840,147.3400,147.3500,147.3100,147.3400,14600
1493313912,147.3497,147.3600,147.3200,147.3300,5500
1493313960,147.3500,147.3600,147.3447,147.3520,4700
1493314079,147.3300,147.3700,147.3300,147.3600,15300
1493314080,147.3200,147.3362,147.3150,147.3300,13800
1493314145,147.3200,147.3300,147.3159,147.3159,2800
1493314200,147.3250,147.3300,147.3000,147.3200,9000
1493314261,147.3100,147.3200,147.2950,147.3200,7600
1493314325,147.2855,147.3000,147.2700,147.3000,13500
1493314385,147.2900,147.2900,147.2664,147.2850,9100
1493314442,147.3000,147.3100,147.2900,147.3000,6800
1493314559,147.3000,147.3000,147.2892,147.2900,8000
1493314560,147.2700,147.3100,147.2700,147.3000,8300
1493314625,147.2900,147.2900,147.2700,147.2700,7600
1493314682,147.2600,147.2900,147.2600,147.2800,6100
1493314745,147.2596,147.2600,147.2200,147.2500,13000
1493314857,147.2600,147.2634,147.2400,147.2599,10700
1493314860,147.2569,147.2800,147.2500,147.2634,19900
1493314920,147.2500,147.2650,147.2500,147.2583,3200
1493314994,147.2467,147.2600,147.2467,147.2500,4000
1493315046,147.2000,147.2500,147.2000,147.2500,31200
1493315102,147.2200,147.2300,147.1700,147.2000,30900
1493315219,147.3000,147.3000,147.2158,147.2200,13800
1493315220,147.2700,147.3100,147.2688,147.3100,8100
1493315284,147.2400,147.2863,147.2381,147.2800,3700
1493315342,147.2200,147.2500,147.2200,147.2346,2800
1493315403,147.2700,147.2799,147.2246,147.2246,11000
1493315464,147.2650,147.2900,147.2650,147.2800,5900
1493315521,147.2770,147.2770,147.2567,147.2695,3400
1493315580,147.2900,147.2900,147.2700,147.2700,7000
1493315645,147.3162,147.3200,147.3000,147.3000,10700
1493315701,147.3000,147.3100,147.2800,147.3000,5900
1493315818,147.3600,147.3600,147.2900,147.2900,18300
1493315820,147.3800,147.3800,147.3300,147.3628,25600
1493315880,147.3500,147.3800,147.3500,147.3800,20200
1493315940,147.3700,147.3900,147.3500,147.3500,15300
1493316002,147.3600,147.3800,147.3600,147.3625,12900
1493316065,147.3499,147.3700,147.3400,147.3600,6500
1493316120,147.3700,147.3700,147.3400,147.3440,7500
1493316186,147.3400,147.3700,147.3400,147.3600,15700
1493316241,147.3400,147.3507,147.3300,147.3400,10100
1493316307,147.3700,147.3700,147.3260,147.3300,9600
1493316362,147.3400,147.3700,147.3301,147.3700,24300
1493316421,147.3400,147.3500,147.3400,147.3400,7600
1493316481,147.3300,147.3500,147.3200,147.3500,9400
1493316542,147.3390,147.3400,147.3207,147.3400,7800
1493316600,147.3600,147.3800,147.3350,147.3400,22700
1493316718,147.3600,147.3700,147.3600,147.3645,7900
1493316778,147.3900,147.3900,147.3600,147.3600,13300
1493316781,147.4000,147.4400,147.3800,147.3900,57500
1493316840,147.3800,147.4000,147.3800,147.3900,8300
1493316900,147.4200,147.4300,147.3800,147.3800,41200
1493317019,147.4300,147.4350,147.4100,147.4194,11600
1493317079,147.3813,147.4400,147.3800,147.4300,12100
1493317080,147.3600,147.3900,147.3600,147.3900,12300
1493317141,147.3600,147.3700,147.3400,147.3600,10800
1493317201,147.3700,147.3700,147.3500,147.3500,8000
1493317260,147.3500,147.3800,147.3400,147.3700,15000
1493317379,147.2600,147.3470,147.2600,147.3400,62900
1493317380,147.2500,147.2700,147.2141,147.2700,30800
1493317499,147.2500,147.2600,147.2400,147.2500,23200
1493317500,147.2300,147.2500,147.2300,147.2450,10100
1493317568,147.2100,147.2500,147.1500,147.2438,65800
1493317622,147.2300,147.2350,147.2100,147.2100,10800
1493317681,147.2300,147.2400,147.2201,147.2201,9600
1493317753,147.2457,147.2700,147.2300,147.2300,14800
1493317801,147.3038,147.3038,147.2300,147.2400,16400
1493317861,147.2800,147.3299,147.2700,147.3100,11600
1493317921,147.3200,147.3200,147.2800,147.2900,9700
1493317980,147.3500,147.3700,147.3100,147.3100,15600
1493318051,147.3999,147.3999,147.3400,147.3500,11800
1493318159,147.3618,147.3900,147.3600,147.3900,4700
1493318160,147.3900,147.3934,147.3600,147.3601,13000
1493318220,147.3850,147.4300,147.3800,147.4000,20300
1493318286,147.4163,147.4200,147.3800,147.3900,6800
1493318340,147.4200,147.4200,147.4100,147.4150,21400
1493318403,147.4400,147.4500,147.4000,147.4175,21600
1493318460,147.4333,147.4450,147.4200,147.4400,12300
1493318577,147.4323,147.4500,147.4200,147.4300,16700
1493318638,147.4800,147.4800,147.4400,147.4400,24500
1493318641,147.4800,147.4900,147.4600,147.4800,15200
1493318702,147.4699,147.4900,147.4600,147.4800,13200
1493318761,147.4900,147.4990,147.4700,147.4700,29000
1493318831,147.4900,147.5000,147.4700,147.5000,25900
1493318886,147.5000,147.5000,147.4800,147.4936,16700
1493318947,147.4900,147.5000,147.4750,147.4999,15800
1493319003,147.4850,147.5000,147.4850,147.4950,9700
1493319061,147.5400,147.5500,147.4862,147.4862,82500
1493319120,147.5500,147.5600,147.5350,147.5384,14300
1493319181,147.5600,147.5800,147.5450,147.5490,22600
1493319245,147.5566,147.5800,147.5300,147.5573,24800
1493319300,147.5600,147.5800,147.5600,147.5600,15300
1493319363,147.5390,147.5600,147.5210,147.5590,18900
1493319420,147.5054,147.5400,147.5044,147.5400,9000
1493319480,147.5300,147.5300,147.5000,147.5086,12900
1493319549,147.5500,147.5570,147.5300,147.5300,9700
1493319600,147.5586,147.5600,147.5354,147.5500,10700
1493319660,147.5500,147.5600,147.5301,147.5599,26100
1493319722,147.5500,147.5700,147.5300,147.5500,14200
1493319781,147.5100,147.5563,147.5000,147.5410,74900
1493319899,147.5150,147.5399,147.5000,147.5000,33400
1493319901,147.5000,147.5200,147.4800,147.5100,7600
1493320019,147.4200,147.5350,147.4200,147.5100,38500
1493320079,147.4200,147.4300,147.3800,147.4200,79700
1493320080,147.3900,147.4400,147.3600,147.4200,83200
1493320140,147.4300,147.4300,147.3800,147.3800,14000
1493320259,147.4400,147.4800,147.4200,147.4264,21300
1493320319,147.4660,147.4700,147.4300,147.4300,9500
1493320321,147.4700,147.4950,147.4600,147.4640,20600
1493320385,147.4833,147.5000,147.4699,147.4700,31400
1493320499,147.4700,147.4900,147.4600,147.4702,9000
1493320500,147.4800,147.4900,147.4600,147.4693,10200
1493320561,147.4600,147.4800,147.4499,147.4799,13700
1493320679,147.4950,147.5150,147.4500,147.4600,26800
1493320680,147.4650,147.5000,147.4600,147.4950,8600
1493320799,147.4600,147.4850,147.4600,147.4699,6800
1493320801,147.4670,147.4700,147.4490,147.4600,10800
1493320919,147.4699,147.4900,147.4600,147.4700,41300
1493320921,147.4900,147.5300,147.4700,147.4700,48400
1493320981,147.5200,147.5300,147.4800,147.4900,18600
1493321044,147.5448,147.5600,147.4900,147.5254,24700
1493321101,147.5199,147.5500,147.5001,147.5460,22700
1493321161,147.5100,147.5300,147.4850,147.5200,16400
1493321233,147.5210,147.5300,147.5100,147.5247,12000
1493321280,147.4800,147.5300,147.4643,147.5250,33100
1493321343,147.5153,147.5200,147.4837,147.4900,7600
1493321401,147.5300,147.5400,147.5000,147.5100,10700
1493321460,147.5186,147.5300,147.5100,147.5300,9900
1493321520,147.5800,147.5800,147.5000,147.5190,28600
1493321580,147.5700,147.5900,147.5564,147.5850,12700
1493321641,147.5200,147.5650,147.5200,147.5600,10400
1493321701,147.5200,147.5400,147.5150,147.5200,19900
1493321818,147.4900,147.5100,147.4850,147.5100,12800
1493321820,147.4700,147.5000,147.4500,147.4900,21100
1493321882,147.4700,147.4961,147.4100,147.4800,57800
1493321947,147.5163,147.5200,147.4700,147.4800,31100
1493322003,147.5300,147.5300,147.5092,147.5092,11600
1493322061,147.5400,147.5400,147.5000,147.5300,21300
1493322124,147.5354,147.5600,147.5101,147.5400,20900
1493322182,147.5400,147.5500,147.5200,147.5300,27300
1493322240,147.5800,147.5800,147.5399,147.5400,13900
1493322359,147.6550,147.6750,147.5700,147.5800,69800
1493322360,147.6600,147.6700,147.6200,147.6600,29200
1493322479,147.6600,147.7200,147.6500,147.6600,62400
1493322538,147.7050,147.7200,147.6600,147.6600,29000
1493322596,147.7150,147.7300,147.6999,147.7050,82500
1493322657,147.6600,147.7100,147.6500,147.7050,90600
1493322719,147.6100,147.6800,147.6100,147.6800,48000
1493322779,147.7000,147.7099,147.6150,147.6200,55200
1493322839,147.6900,147.7100,147.6600,147.6950,48600
1493322898,147.7200,147.7400,147.6700,147.6900,65400
1493322959,147.6800,147.7100,147.6600,147.7100,60800
1493322960,147.6756,147.7100,147.6500,147.6800,73900
1493323020,147.6350,147.6700,147.6300,147.6700,65900
1493323139,147.7190,147.7200,147.5900,147.6300,157600
1493323140,147.7100,147.7457,147.6300,147.7200,475900
1493323200,147.7000,147.7000,147.7000,147.7000,600
