Date,Open,High,Low,Close,Volume,Adj Close
2/15/2017,174.399994,175.050003,174.070007,174.440002,18300,174.440002
2/14/2017,176.399994,176.410004,174.199997,174.279999,13900,174.279999
2/13/2017,176.5,176.919998,174.320007,176.5,22200,176.5
2/10/2017,177.300003,177.429993,174.830002,177,10000,177
2/9/2017,173.889999,178.479996,172.860001,176.399994,31000,176.399994
2/8/2017,183.979996,183.979996,171.759995,172.990005,18500,172.990005
2/7/2017,171.410004,173.479996,170.779999,172.339996,26000,172.339996
2/6/2017,170.949997,171.990005,170.630005,171.289993,15300,171.289993
2/3/2017,169.5,171.570007,169.5,171.160004,18000,171.160004
2/2/2017,168.800003,169.800003,168.679993,169.320007,14600,169.320007
2/1/2017,169.789993,169.820007,167.539993,168.220001,27400,168.220001
1/31/2017,164.089996,169.330002,162.309998,168.839996,26100,168.839996
1/30/2017,165.100006,165.369995,162.979996,164.5,16700,164.5
1/27/2017,166.259995,166.960007,165.279999,165.910004,14400,165.910004
1/26/2017,168.529999,168.979996,165.889999,166.490005,20900,166.490005
1/25/2017,169.600006,170.270004,168.800003,169.350006,32100,169.350006
1/24/2017,167.300003,170,167.300003,169.600006,23600,169.350002
1/23/2017,166.270004,169.130005,166.210007,167.690002,16600,167.442814
1/20/2017,166.699997,168.059998,166.009995,166.639999,14900,166.394358
1/19/2017,167.169998,167.990005,166.279999,166.410004,14000,166.164702
1/18/2017,167.039993,168.25,165.600006,168,18100,167.752354
1/17/2017,169.160004,169.990005,166.050003,166.710007,23200,166.464262
1/13/2017,168.699997,170.139999,167.800003,170.100006,24600,169.849265
1/12/2017,170.520004,170.520004,168.369995,169.300003,17000,169.050441
1/11/2017,171,171.080002,169.770004,170.919998,20900,170.668048
1/10/2017,172.389999,173.009995,170.149994,171.729996,27000,171.476852
1/9/2017,177,177,172.300003,173.169998,33000,172.914731
1/6/2017,178.880005,179.600006,176.009995,177.210007,21700,176.948785
1/5/2017,180.009995,181,178.009995,179.300003,20800,179.0357
1/4/2017,179.889999,181,176.070007,179.960007,17500,179.694731
1/3/2017,178.720001,180.740005,174.600006,179.699997,31500,179.435104
12/30/2016,178.270004,179.899994,177.199997,178.850006,30400,178.586366
12/29/2016,177.800003,180.699997,177.800003,179.050003,25700,178.786069
12/28/2016,179.229996,180.059998,177.630005,178.699997,24000,178.436578
12/27/2016,178.309998,182.259995,178.009995,179.080002,47300,178.816023
12/23/2016,174,178.050003,174,177.559998,18600,177.298259
12/22/2016,176.270004,176.270004,172.660004,174.669998,25500,174.41252
12/21/2016,178.119995,179.410004,176.059998,177.210007,33800,176.948785
12/20/2016,173.009995,179.350006,173.009995,178.520004,43700,178.256851
12/19/2016,174.479996,175.570007,173.520004,173.600006,27200,173.344105
12/16/2016,172.869995,174.740005,171.169998,174.059998,42800,173.803419
12/15/2016,167.979996,172.410004,167.100006,171.660004,33500,171.406963
12/14/2016,166.779999,168.429993,165.520004,167.720001,39500,167.472768
12/13/2016,167.199997,168.240005,166.009995,167.160004,32900,166.913596
12/12/2016,166.970001,167.380005,165.220001,167.330002,29600,167.083344
12/9/2016,162.479996,167.539993,161.589996,167.149994,67900,166.903601
12/8/2016,161.779999,162.850006,160.399994,161.910004,30900,161.671335
12/7/2016,159.580002,162.059998,159.580002,162.029999,51100,161.791153
