timestamp,close,high,low,open,volume
1492608669,141.5200,141.6100,141.4800,141.5500,444600
1492608742,141.5100,141.5800,141.5029,141.5800,31300
1492608780,141.6700,141.7300,141.5300,141.5350,138300
1492608844,141.7501,141.8700,141.6800,141.7200,85900
1492608907,141.8896,141.9138,141.7900,141.8000,84100
1492608962,141.8700,141.8850,141.7600,141.8850,74000
1492609079,141.9086,141.9300,141.8100,141.8700,71600
1492609080,141.9200,141.9500,141.8800,141.9000,63000
1492609142,142.2100,142.2100,141.9400,141.9400,221400
1492609259,142.3500,142.3500,142.1600,142.2200,224100
1492609318,142.4300,142.4300,142.2900,142.3500,153400
1492609379,142.3100,142.4500,142.2600,142.4250,131600
1492609380,142.3000,142.3852,142.2300,142.2900,101100
1492609499,142.3801,142.4200,142.2697,142.2901,79000
1492609502,142.2300,142.4242,142.2300,142.4000,101600
1492609560,142.4000,142.4000,142.1950,142.2400,73500
1492609679,142.4001,142.4400,142.3500,142.4034,48100
1492609680,142.4754,142.5300,142.3737,142.4000,128500
1492609799,142.4000,142.5024,142.3800,142.4757,143800
1492609802,142.3699,142.4400,142.2900,142.4165,92700
1492609919,142.4800,142.5000,142.3338,142.3600,101500
1492609920,142.4700,142.5499,142.4500,142.4900,136800
1492609981,142.4914,142.5200,142.4800,142.4900,47800
1492610040,142.4235,142.5100,142.4235,142.5100,48800
1492610159,142.6399,142.6600,142.4300,142.4300,144600
1492610219,142.5950,142.6300,142.5600,142.6300,83700
1492610279,142.6957,142.7200,142.6000,142.6000,122300
1492610280,142.6300,142.7400,142.6300,142.6975,60400
1492610399,142.6500,142.7200,142.6299,142.6450,75200
1492610400,142.4900,142.6600,142.4900,142.6550,97300
1492610460,142.5599,142.5800,142.4900,142.5100,71100
1492610521,142.5468,142.5601,142.4924,142.5574,34500
1492610581,142.5655,142.5800,142.5300,142.5500,36600
1492610641,142.4867,142.5607,142.4700,142.5600,39000
1492610700,142.4916,142.4916,142.4600,142.4860,30800
1492610760,142.5499,142.5700,142.4700,142.4900,34000
1492610878,142.5546,142.5700,142.5300,142.5500,26100
1492610937,142.5000,142.5800,142.4700,142.5500,27300
1492610997,142.5460,142.5460,142.4700,142.4900,25200
1492611059,142.5200,142.5400,142.4900,142.5400,30900
1492611060,142.5200,142.5200,142.4600,142.5200,18300
1492611120,142.5400,142.5600,142.5100,142.5300,28300
1492611180,142.5900,142.6100,142.5458,142.5500,44300
1492611242,142.5318,142.5900,142.5200,142.5900,30100
1492611302,142.4200,142.5695,142.4100,142.5400,80500
1492611419,142.3599,142.4143,142.3100,142.4143,70800
1492611420,142.3350,142.4000,142.3350,142.3600,34800
1492611481,142.2900,142.3700,142.2800,142.3200,43300
1492611540,142.2950,142.3200,142.2590,142.2800,32800
1492611659,142.3800,142.3900,142.2956,142.3000,35400
1492611660,142.4999,142.4999,142.3856,142.3900,38700
1492611777,142.4700,142.5000,142.4498,142.5000,20200
1492611780,142.4200,142.4825,142.4030,142.4758,18000
1492611840,142.4837,142.4837,142.4000,142.4300,24000
1492611900,142.5280,142.5300,142.4700,142.4800,29200
1492611960,142.5500,142.5600,142.5201,142.5201,40200
1492612022,142.5500,142.5500,142.5200,142.5500,19000
1492612081,142.4500,142.5599,142.4500,142.5599,45000
1492612198,142.4600,142.4900,142.4400,142.4500,31700
1492612200,142.5090,142.5100,142.4600,142.4900,21200
1492612319,142.5200,142.5400,142.4900,142.5000,36200
1492612320,142.5300,142.5543,142.5100,142.5258,28200
1492612439,142.5700,142.5800,142.5300,142.5300,31400
1492612441,142.6900,142.7000,142.5655,142.5700,84000
1492612558,142.7200,142.7500,142.6850,142.6953,57200
1492612560,142.7447,142.7500,142.7000,142.7150,41500
1492612624,142.7500,142.7700,142.7200,142.7400,76600
1492612739,142.7255,142.7850,142.7250,142.7401,42600
1492612798,142.6300,142.7400,142.6300,142.7200,54900
1492612800,142.6300,142.6400,142.6100,142.6300,34100
1492612860,142.6200,142.7100,142.6100,142.6200,31500
1492612921,142.7100,142.7200,142.6262,142.6262,26900
1492612980,142.7490,142.7600,142.7073,142.7073,23700
1492613040,142.8201,142.8255,142.7200,142.7590,68800
1492613101,142.7610,142.8400,142.7400,142.8300,53700
1492613161,142.6800,142.7600,142.6600,142.7600,73900
1492613220,142.6900,142.7200,142.6700,142.6916,19500
1492613280,142.6799,142.7069,142.6700,142.6800,37000
1492613393,142.5500,142.6800,142.5300,142.6700,73900
1492613457,142.7200,142.7500,142.6000,142.6000,98100
1492613461,142.6980,142.7400,142.6700,142.7200,62300
1492613520,142.6550,142.7100,142.6500,142.7000,32600
1492613583,142.6900,142.6950,142.6500,142.6649,19300
1492613641,142.7559,142.7579,142.6900,142.6950,25600
1492613759,142.8100,142.8200,142.7300,142.7700,43500
1492613819,142.8400,142.8500,142.8000,142.8100,52000
1492613879,142.8100,142.8800,142.8100,142.8410,135500
1492613880,142.8862,142.8900,142.8100,142.8200,30500
1492613999,142.8700,142.8900,142.8400,142.8900,32100
1492614000,142.8700,142.8800,142.8500,142.8700,29300
1492614068,142.8500,142.8700,142.8100,142.8637,36200
1492614121,142.7800,142.8600,142.7800,142.8600,27500
1492614181,142.7891,142.7900,142.7700,142.7800,30200
1492614244,142.7200,142.7900,142.6900,142.7850,36000
1492614302,142.7200,142.7500,142.7100,142.7200,17300
1492614361,142.7464,142.7464,142.7100,142.7228,16700
1492614422,142.7500,142.7800,142.7467,142.7500,33400
1492614482,142.7501,142.7700,142.7500,142.7500,15300
1492614599,142.7800,142.7900,142.7600,142.7600,17900
1492614600,142.7200,142.7890,142.7100,142.7800,32700
1492614719,142.6916,142.7100,142.6900,142.7100,18800
1492614720,142.7300,142.7300,142.6950,142.7000,22400
1492614782,142.7600,142.7600,142.7300,142.7300,22300
1492614840,142.7860,142.7900,142.7600,142.7646,16400
1492614902,142.8400,142.8400,142.7800,142.7839,28800
1492614960,142.8762,142.8900,142.8350,142.8350,49900
1492615023,142.8700,142.9000,142.8600,142.8800,48200
1492615080,142.8700,142.9000,142.8700,142.8800,35200
1492615140,142.9000,142.9000,142.8400,142.8700,29300
1492615201,142.9242,142.9300,142.8799,142.9000,39300
1492615261,142.9300,142.9400,142.9000,142.9250,31500
1492615379,142.9479,142.9800,142.9100,142.9400,62100
1492615439,142.9562,142.9800,142.9301,142.9559,12000
1492615441,142.9851,143.0000,142.9500,142.9600,67900
1492615502,142.9300,142.9936,142.9100,142.9900,29200
1492615619,142.9650,142.9852,142.9300,142.9400,23800
1492615620,142.9600,142.9700,142.9300,142.9600,39800
1492615681,143.0000,143.0400,142.9500,142.9700,137800
1492615740,142.9669,143.0000,142.9200,142.9983,33900
1492615856,142.9310,142.9800,142.9300,142.9600,17700
1492615863,142.9899,142.9899,142.9300,142.9400,32300
1492615921,142.9650,143.0000,142.9450,142.9850,24000
1492615980,142.9698,142.9900,142.9600,142.9750,24500
1492616099,142.9665,143.0000,142.9600,142.9753,27700
1492616159,142.9600,142.9700,142.9000,142.9600,35000
1492616160,142.9300,142.9550,142.9300,142.9500,29400
1492616220,142.9100,142.9296,142.8800,142.9200,33900
1492616281,142.9000,142.9200,142.8900,142.9100,16400
1492616398,142.9205,142.9400,142.9000,142.9000,20900
1492616458,142.9399,142.9400,142.9000,142.9232,11300
1492616461,142.9750,142.9800,142.9200,142.9400,28700
1492616520,142.9866,143.0000,142.9600,142.9800,40700
1492616583,142.9200,142.9875,142.9200,142.9875,18900
1492616651,142.9200,142.9400,142.9100,142.9200,22100
1492616759,142.9400,142.9500,142.9200,142.9301,16200
1492616819,142.8640,142.9362,142.8400,142.9362,48300
1492616820,142.8550,142.9000,142.8300,142.8700,51300
1492616882,142.7910,142.8791,142.7805,142.8700,29900
1492616942,142.7300,142.8100,142.7100,142.8000,63000
1492617000,142.7550,142.7600,142.7000,142.7200,18600
1492617119,142.8000,142.8000,142.7500,142.7516,20700
1492617121,142.8000,142.8050,142.7750,142.7942,18200
1492617181,142.7600,142.8000,142.7600,142.7900,19400
1492617298,142.7900,142.8000,142.7600,142.7650,15200
1492617300,142.7600,142.7950,142.7600,142.7950,6700
1492617364,142.7500,142.7800,142.7500,142.7627,20300
1492617421,142.7400,142.7681,142.7300,142.7425,19700
1492617480,142.7300,142.7454,142.7060,142.7400,15200
