Date,Open,High,Low,Close,Volume,Adj Close
2017-04-26,206.110001,210.179993,205.729996,208.350006,34000,208.350006
2017-04-25,210.679993,214.710007,205.75,207.289993,77900,207.039993
2017-04-24,206.020004,210.889999,206.020004,209.100006,31400,208.847823
2017-04-21,209.300003,209.559998,203.419998,204.899994,34200,204.652876
2017-04-20,208.820007,210.25,207.50,209.820007,37300,209.566956
2017-04-19,208.509995,209.339996,207.169998,208.229996,18700,207.978862
2017-04-18,207.399994,209.919998,205.009995,207.389999,27800,207.139879
2017-04-17,203.289993,207.559998,203.00,207.449997,19600,207.199804
2017-04-13,201.770004,204.779999,201.630005,202.179993,23800,201.936155
2017-04-12,203.770004,204.009995,200.910004,202.509995,19600,202.265759
2017-04-11,204.589996,204.589996,202.729996,203.910004,23000,203.66408
2017-04-10,199.460007,205.699997,199.460007,204.339996,35300,204.093554
2017-04-07,198.460007,200.360001,198.419998,199.210007,51800,198.969751
2017-04-06,199.800003,199.800003,198.100006,198.669998,25100,198.430394
2017-04-05,202.449997,202.449997,199.649994,199.669998,32600,199.429188
2017-04-04,199.320007,202.649994,199.320007,202.020004,40300,201.77636
2017-04-03,206.100006,206.100006,199.080002,199.309998,48000,199.069622
2017-03-31,203.559998,207.399994,203.339996,206.020004,53900,205.771536
2017-03-30,202.940002,204.25,201.00,203.75,38000,203.504269
2017-03-29,201.600006,202.899994,200.320007,202.259995,39700,202.016061
2017-03-28,199.210007,202.429993,198.050003,202.00,48600,201.75638
2017-03-27,196.199997,200.75,196.00,199.380005,45000,199.139545
2017-03-24,198.789993,198.899994,197.139999,197.279999,32900,197.042071
2017-03-23,195.050003,200.580002,195.050003,198.520004,71800,198.280581
2017-03-22,193.690002,196.699997,193.690002,195.830002,64500,195.593823
2017-03-21,195.619995,198.00,194.50,195.00,84000,194.764822
2017-03-20,194.270004,195.699997,192.639999,195.229996,44900,194.99454
2017-03-17,192.080002,195.740005,192.080002,194.029999,120600,193.795991
2017-03-16,188.759995,193.779999,188.759995,192.380005,104700,192.147987
2017-03-15,185.619995,191.600006,183.190002,189.039993,929500,188.812003
2017-03-14,179.490005,188.389999,178.50,186.50,255800,186.275073
2017-03-13,170.929993,173.320007,170.929993,171.220001,23900,171.013503
2017-03-10,174.229996,176.850006,171.320007,171.740005,21900,171.53288
2017-03-09,172.100006,179.570007,172.00,173.00,40700,172.791355
2017-03-08,174.559998,175.990005,172.190002,174.350006,28300,174.139733
2017-03-07,172.979996,175.960007,172.979996,174.550003,16000,174.339489
2017-03-06,173.800003,175.149994,173.160004,173.410004,19000,173.200864
2017-03-03,173.990005,174.820007,172.270004,174.289993,18900,174.079793
2017-03-02,174.429993,174.75,173.070007,174.020004,15200,173.810129
2017-03-01,172.600006,175.789993,172.600006,174.509995,32600,174.299528
2017-02-28,176.690002,176.690002,171.50,172.070007,29100,171.862484
2017-02-27,177.740005,178.279999,175.020004,176.399994,30700,176.187248
2017-02-24,179.800003,180.070007,176.440002,177.320007,16700,177.106152
2017-02-23,180.919998,181.229996,177.330002,180.839996,18700,180.621896
2017-02-22,180.729996,181.149994,178.830002,180.570007,19300,180.352233
2017-02-21,177.850006,181.270004,177.850006,181.089996,32800,180.871594
2017-02-17,175.529999,177.600006,175.529999,177.059998,19600,176.846456
2017-02-16,174.100006,175.119995,174.100006,175.089996,10800,174.878831
2017-02-15,174.399994,175.050003,174.070007,174.440002,18300,174.229621
2017-02-14,176.399994,176.410004,174.199997,174.279999,13900,174.06981
2017-02-13,176.50,176.919998,174.320007,176.50,22200,176.287134
2017-02-10,177.300003,177.429993,174.830002,177.00,10000,176.786531
2017-02-09,173.889999,178.479996,172.860001,176.399994,31000,176.187248
2017-02-08,183.979996,183.979996,171.759995,172.990005,18500,172.781373
2017-02-07,171.410004,173.479996,170.779999,172.339996,26000,172.132147
2017-02-06,170.949997,171.990005,170.630005,171.289993,15300,171.083411
2017-02-03,169.50,171.570007,169.50,171.160004,18000,170.953578
2017-02-02,168.800003,169.800003,168.679993,169.320007,14600,169.115801
2017-02-01,169.789993,169.820007,167.539993,168.220001,27400,168.017121
2017-01-31,164.089996,169.330002,162.309998,168.839996,26100,168.636368
2017-01-30,165.100006,165.369995,162.979996,164.50,16700,164.301606
2017-01-27,166.259995,166.960007,165.279999,165.910004,14400,165.709909
2017-01-26,168.529999,168.979996,165.889999,166.490005,20900,166.289212
2017-01-25,169.600006,170.270004,168.800003,169.350006,32100,169.145763
2017-01-24,167.300003,170.00,167.300003,169.600006,23600,169.145761
2017-01-23,166.270004,169.130005,166.210007,167.690002,16600,167.240872
2017-01-20,166.699997,168.059998,166.009995,166.639999,14900,166.193682
2017-01-19,167.169998,167.990005,166.279999,166.410004,14000,165.964302
2017-01-18,167.039993,168.25,165.600006,168.00,18100,167.55004
2017-01-17,169.160004,169.990005,166.050003,166.710007,23200,166.263502
2017-01-13,168.699997,170.139999,167.800003,170.100006,24600,169.644421
2017-01-12,170.520004,170.520004,168.369995,169.300003,17000,168.846561
2017-01-11,171.00,171.080002,169.770004,170.919998,20900,170.462217
2017-01-10,172.389999,173.009995,170.149994,171.729996,27000,171.270045
2017-01-09,177.00,177.00,172.300003,173.169998,33000,172.706191
2017-01-06,178.880005,179.600006,176.009995,177.210007,21700,176.735379
2017-01-05,180.009995,181.00,178.009995,179.300003,20800,178.819778
2017-01-04,179.889999,181.00,176.070007,179.960007,17500,179.478014
2017-01-03,178.720001,180.740005,174.600006,179.699997,31500,179.2187
2016-12-30,178.270004,179.899994,177.199997,178.850006,30400,178.370986
2016-12-29,177.800003,180.699997,177.800003,179.050003,25700,178.570447
2016-12-28,179.229996,180.059998,177.630005,178.699997,24000,178.221379
2016-12-27,178.309998,182.259995,178.009995,179.080002,47300,178.600366
2016-12-23,174.00,178.050003,174.00,177.559998,18600,177.084432
2016-12-22,176.270004,176.270004,172.660004,174.669998,25500,174.202173
2016-12-21,178.119995,179.410004,176.059998,177.210007,33800,176.735379
2016-12-20,173.009995,179.350006,173.009995,178.520004,43700,178.041868
2016-12-19,174.479996,175.570007,173.520004,173.600006,27200,173.135047
2016-12-16,172.869995,174.740005,171.169998,174.059998,42800,173.593807
2016-12-15,167.979996,172.410004,167.100006,171.660004,33500,171.200241
2016-12-14,166.779999,168.429993,165.520004,167.720001,39500,167.270791
2016-12-13,167.199997,168.240005,166.009995,167.160004,32900,166.712293
2016-12-12,166.970001,167.380005,165.220001,167.330002,29600,166.881836
2016-12-09,162.479996,167.539993,161.589996,167.149994,67900,166.70231
2016-12-08,161.779999,162.850006,160.399994,161.910004,30900,161.476354
2016-12-07,159.580002,162.059998,159.580002,162.029999,51100,161.596028
