timestamp,close,high,low,open,volume
1492608624,840.0000,840.0000,839.1900,839.5700,28700
1492608721,839.5500,839.7000,839.3700,839.4600,5000
1492608817,838.9800,839.2600,838.7900,838.7975,8500
1492608841,839.1700,839.4700,838.4000,838.6900,6700
1492608907,839.7700,839.7800,839.1801,839.2000,4400
1492608961,839.5900,839.6800,839.3200,839.4200,1900
1492609024,839.2200,839.3000,838.9200,839.3000,5300
1492609081,838.8400,839.3799,838.6450,839.3799,3500
1492609199,839.7600,839.7600,838.9300,839.0000,3200
1492609200,840.9100,840.9100,839.6700,839.6700,15100
1492609319,840.5900,841.0800,840.5900,840.8500,3600
1492609320,840.7600,841.2299,840.6201,841.0000,4700
1492609393,840.4400,840.8199,840.4400,840.5800,2800
1492609446,840.6353,840.8400,840.4180,840.4200,2100
1492609500,840.0958,840.7100,840.0958,840.5750,2600
1492609565,839.8300,840.1400,839.7401,840.1000,2800
1492609623,839.8200,840.0000,839.2200,840.0000,7000
1492609695,840.3200,840.3200,840.0000,840.0000,1300
1492609745,839.8500,840.7200,839.8500,840.1250,3300
1492609808,839.9500,840.0400,839.5910,840.0400,2500
1492609953,840.0100,840.5900,840.0100,840.5900,1400
1492609988,839.8900,840.3600,839.8900,840.3600,1200
1492610043,840.1400,840.1900,839.9200,840.0000,2300
1492610159,840.7150,841.1000,840.2000,840.5400,4000
1492610160,841.0200,841.0600,840.7000,840.7300,3600
1492610220,841.1200,841.2200,840.8199,840.9500,3100
1492610284,840.9300,841.3600,840.9300,841.2700,2800
1492610353,840.8000,841.0200,840.8000,841.0200,2400
1492610410,840.6201,841.0000,840.6201,840.8800,3400
1492610463,840.4640,840.7000,840.3600,840.6201,3800
1492610545,840.2800,840.4999,840.1800,840.3000,2400
1492610592,840.6100,840.8100,840.6100,840.7500,2200
1492610680,840.7200,840.7200,840.7200,840.7200,200
1492610725,840.9400,840.9400,840.5700,840.5700,1700
1492610764,841.1900,841.1900,840.8000,840.8000,4000
1492610828,841.2500,841.4800,841.2500,841.3200,3400
1492610939,841.3900,841.4900,840.9450,841.4900,5400
1492610941,841.3200,841.3300,841.1801,841.3300,1200
1492611012,841.4500,841.5500,841.3600,841.3799,4800
1492611075,841.7300,841.7300,841.3817,841.3817,2700
1492611131,841.7385,841.7385,841.5800,841.7100,1500
1492611180,841.8498,841.8498,841.6400,841.6400,3200
1492611243,841.8120,841.9600,841.6435,841.9600,2400
1492611300,841.5001,841.8800,841.5001,841.8600,4200
1492611366,841.7950,841.7950,841.6400,841.6400,1100
1492611476,841.8700,841.9800,841.6000,841.6000,4000
1492611480,841.7500,841.8651,841.7200,841.7401,1400
1492611543,841.6500,841.9300,841.5001,841.9300,1800
1492611606,841.5600,841.7100,841.5600,841.5700,1100
1492611660,841.5200,841.8000,841.5200,841.7100,2900
1492611776,841.4950,841.5200,841.3000,841.3000,800
1492611817,841.0400,841.0600,841.0400,841.0600,500
1492611842,841.1100,841.1100,840.9600,841.0300,1600
1492611912,841.0634,841.3600,840.8250,840.8684,2100
1492611964,841.1167,841.2900,841.0700,841.1200,2700
1492612029,841.2600,841.3200,841.2200,841.2500,4700
